Specialty,Medical_Term,Frequency
 Allergy / Immunology,subjective,3
 Allergy / Immunology,year,8
 Allergy / Immunology,old,8
 Allergy / Immunology,white,4
 Allergy / Immunology,female,5
 Allergy / Immunology,presents,4
 Allergy / Immunology,complaint,2
 Allergy / Immunology,allergies,21
 Allergy / Immunology,used,7
 Allergy / Immunology,lived,1
 Allergy / Immunology,seattle,1
 Allergy / Immunology,thinks,1
 Allergy / Immunology,worse,7
 Allergy / Immunology,past,13
 Allergy / Immunology,tried,3
 Allergy / Immunology,claritin,1
 Allergy / Immunology,zyrtec,2
 Allergy / Immunology,worked,1
 Allergy / Immunology,short,1
 Allergy / Immunology,time,9
 Allergy / Immunology,seemed,1
 Allergy / Immunology,lose,1
 Allergy / Immunology,effectiveness,1
 Allergy / Immunology,allegra,8
 Allergy / Immunology,also,10
 Allergy / Immunology,last,3
 Allergy / Immunology,summer,1
 Allergy / Immunology,began,1
 Allergy / Immunology,using,4
 Allergy / Immunology,two,5
 Allergy / Immunology,weeks,3
 Allergy / Immunology,ago,3
 Allergy / Immunology,appear,1
 Allergy / Immunology,working,2
 Allergy / Immunology,well,10
 Allergy / Immunology,counter,1
 Allergy / Immunology,sprays,4
 Allergy / Immunology,prescription,3
 Allergy / Immunology,nasal,13
 Allergy / Immunology,asthma,11
 Allergy / Immunology,doest,1
 Allergy / Immunology,require,1
 Allergy / Immunology,daily,9
 Allergy / Immunology,medication,6
 Allergy / Immunology,think,3
 Allergy / Immunology,flaring,1
 Allergy / Immunology,medications,6
 Allergy / Immunology,currently,7
 Allergy / Immunology,ortho,1
 Allergy / Immunology,tri,1
 Allergy / Immunology,cyclen,1
 Allergy / Immunology,known,1
 Allergy / Immunology,medicine,1
 Allergy / Immunology,objective,2
 Allergy / Immunology,vitals,1
 Allergy / Immunology,weight,6
 Allergy / Immunology,pounds,5
 Allergy / Immunology,blood,7
 Allergy / Immunology,pressure,7
 Allergy / Immunology,heent,3
 Allergy / Immunology,throat,3
 Allergy / Immunology,mildly,1
 Allergy / Immunology,erythematous,2
 Allergy / Immunology,without,15
 Allergy / Immunology,exudate,1
 Allergy / Immunology,mucosa,2
 Allergy / Immunology,swollen,1
 Allergy / Immunology,clear,11
 Allergy / Immunology,drainage,1
 Allergy / Immunology,seen,1
 Allergy / Immunology,tms,2
 Allergy / Immunology,neck,7
 Allergy / Immunology,supple,5
 Allergy / Immunology,adenopathy,3
 Allergy / Immunology,lungs,3
 Allergy / Immunology,assessment,2
 Allergy / Immunology,allergic,10
 Allergy / Immunology,rhinitis,4
 Allergy / Immunology,plan,4
 Allergy / Immunology,try,1
 Allergy / Immunology,instead,1
 Allergy / Immunology,another,1
 Allergy / Immunology,option,1
 Allergy / Immunology,use,4
 Allergy / Immunology,loratadine,1
 Allergy / Immunology,coverage,1
 Allergy / Immunology,might,1
 Allergy / Immunology,cheaper,1
 Allergy / Immunology,samples,1
 Allergy / Immunology,nasonex,2
 Allergy / Immunology,nostril,2
 Allergy / Immunology,given,3
 Allergy / Immunology,three,3
 Allergy / Immunology,written,1
 Allergy / Immunology,history,38
 Allergy / Immunology,self,3
 Allergy / Immunology,referred,3
 Allergy / Immunology,possibility,1
 Allergy / Immunology,evaluation,6
 Allergy / Immunology,treatment,9
 Allergy / Immunology,diminished,1
 Allergy / Immunology,taste,1
 Allergy / Immunology,xerostomia,2
 Allergy / Immunology,gastroesophageal,2
 Allergy / Immunology,reflux,1
 Allergy / Immunology,disease,8
 Allergy / Immunology,possible,6
 Allergy / Immunology,food,7
 Allergy / Immunology,chronic,6
 Allergy / Immunology,irritability,2
 Allergy / Immunology,environmental,4
 Allergy / Immunology,inhalant,4
 Allergy / Immunology,please,2
 Allergy / Immunology,refer,2
 Allergy / Immunology,chart,3
 Allergy / Immunology,physical,6
 Allergy / Immunology,review,3
 Allergy / Immunology,systems,4
 Allergy / Immunology,detailed,1
 Allergy / Immunology,medical,11
 Allergy / Immunology,impression,3
 Allergy / Immunology,glossitis,1
 Allergy / Immunology,probable,3
 Allergy / Immunology,fibromyalgia,1
 Allergy / Immunology,peptic,1
 Allergy / Immunology,ulcer,1
 Allergy / Immunology,gastritis,1
 Allergy / Immunology,fatigue,1
 Allergy / Immunology,hypothyroidism,1
 Allergy / Immunology,depression,1
 Allergy / Immunology,dysphagia,1
 Allergy / Immunology,recommendations,7
 Allergy / Immunology,rast,3
 Allergy / Immunology,allergy,9
 Allergy / Immunology,testing,4
 Allergy / Immunology,ordered,2
 Allergy / Immunology,patient,24
 Allergy / Immunology,previous,2
 Allergy / Immunology,done,3
 Allergy / Immunology,less,2
 Allergy / Immunology,one,4
 Allergy / Immunology,iby,1
 Allergy / Immunology,requested,1
 Allergy / Immunology,follow,3
 Allergy / Immunology,point,2
 Allergy / Immunology,changes,4
 Allergy / Immunology,prescribed,4
 Allergy / Immunology,followup,4
 Allergy / Immunology,visit,2
 Allergy / Immunology,pleasure,1
